LEA,SCHOOL_NAME,1314_GRADES_SERVED,1415_GRADES_SERVED,1516_GRADES_SERVED,1617_GRADES_SERVED,1718_GRADES_SERVED,1819_GRADES_SERVED,1920_GRADES_SERVED,2021_GRADES_SERVED,2122_GRADES_SERVED,2223_GRADES_SERVED,2324_GRADES_SERVED,1314_ACT_NUM_TESTED,1415_ACT_NUM_TESTED,1516_ACT_NUM_TESTED,1617_ACT_NUM_TESTED,1718_ACT_NUM_TESTED,1819_ACT_NUM_TESTED,1920_ACT_NUM_TESTED,2021_ACT_NUM_TESTED,2122_ACT_NUM_TESTED,2223_ACT_NUM_TESTED,2324_ACT_NUM_TESTED,1314_ACT_NUM_TESTED_12,1415_ACT_NUM_TESTED_12,1516_ACT_NUM_TESTED_12,1617_ACT_NUM_TESTED_12,1718_ACT_NUM_TESTED_12,1819_ACT_NUM_TESTED_12,1920_ACT_NUM_TESTED_12,2021_ACT_NUM_TESTED_12,2122_ACT_NUM_TESTED_12,2223_ACT_NUM_TESTED_12,2324_ACT_NUM_TESTED_12,1314_ACT_COMP,1415_ACT_COMP,1516_ACT_COMP,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,2324_ACT_COMP,1314_ACT_MATH,1415_ACT_MATH,1516_ACT_MATH,1617_ACT_MATH,1718_ACT_MATH,1819_ACT_MATH,1920_ACT_MATH,2021_ACT_MATH,2122_ACT_MATH,2223_ACT_MATH,2324_ACT_MATH,1314_ACT_READ,1415_ACT_READ,1516_ACT_READ,1617_ACT_READ,1718_ACT_READ,1819_ACT_READ,1920_ACT_READ,2021_ACT_READ,2122_ACT_READ,2223_ACT_READ,2324_ACT_READ,1314_ACT_SCIENCE,1415_ACT_SCIENCE,1516_ACT_SCIENCE,1617_ACT_SCIENCE,1718_ACT_SCIENCE,1819_ACT_SCIENCE,1920_ACT_SCIENCE,2021_ACT_SCIENCE,2122_ACT_SCIENCE,2223_ACT_SCIENCE,2324_ACT_SCIENCE,1314_AP_PASS,1415_AP_PASS,1516_AP_PASS,1617_AP_PASS,1718_AP_PASS,1819_AP_PASS,1920_AP_PASS,2021_AP_PASS,2122_AP_PASS,2223_AP_PASS,2324_AP_PASS,1314_AP_EXAMS,1415_AP_EXAMS,1516_AP_EXAMS,1617_AP_EXAMS,1718_AP_EXAMS,1819_AP_EXAMS,1920_AP_EXAMS,2021_AP_EXAMS,2122_AP_EXAMS,2223_AP_EXAMS,2324_AP_EXAMS,1314_AP_STUDENTS,1415_AP_STUDENTS,1516_AP_STUDENTS,1617_AP_STUDENTS,1718_AP_STUDENTS,1819_AP_STUDENTS,1920_AP_STUDENTS,2021_AP_STUDENTS,2122_AP_STUDENTS,2223_AP_STUDENTS,2324_AP_STUDENTS,1314_CC_ACCUMULATION,1415_CC_ACCUMULATION,1516_CC_ACCUMULATION,1617_CC_ACCUMULATION,1718_CC_ACCUMULATION,1819_CC_ACCUMULATION,1920_CC_ACCUMULATION,2021_CC_ACCUMULATION,2122_CC_ACCUMULATION,2223_CC_ACCUMULATION,2324_CC_ACCUMULATION,1314_COLLEGE_GOING,1415_COLLEGE_GOING,1516_COLLEGE_GOING,1617_COLLEGE_GOING,1718_COLLEGE_GOING,1819_COLLEGE_GOING,1920_COLLEGE_GOING,2021_COLLEGE_GOING,2122_COLLEGE_GOING,2223_COLLEGE_GOING,2324_COLLEGE_GOING,1314_COLLEGE_REMEDIATION,1415_COLLEGE_REMEDIATION,1516_COLLEGE_REMEDIATION,1617_COLLEGE_REMEDIATION,1718_COLLEGE_REMEDIATION,1819_COLLEGE_REMEDIATION,1920_COLLEGE_REMEDIATION,2021_COLLEGE_REMEDIATION,2122_COLLEGE_REMEDIATION,2223_COLLEGE_REMEDIATION,2324_COLLEGE_REMEDIATION
2301017,Ray/Phyllis Simon Middle Schoo,5-7,5-7,5-7,5-7,5-7,5-7,5-7,5-7,5-7,5-7,5-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2301018,Woodrow Cummins Elementary Sch,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2301019,Carolyn Lewis Elementary Schoo,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,K-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2301020,Conway Junior High School,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,N/A,N/A,39.00,N/A,N/A,N/A,N/A,N/A,N/A,3.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2303016,Greenbrier Eastside Elementary,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2303017,Greenbrier High School,10-12,10-12,10-12,10-12,10-12,10-12,10-12,10-12,10-12,10-12,10-12,260.00,228.00,350.00,404.00,409.00,442.00,340.00,360.00,311.00,346.00,N/A,159.00,200.00,174.00,253.00,246.00,250.00,252.00,244.00,258.00,231.00,N/A,N/A,N/A,N/A,21.75,21.54,22.19,22.52,21.83,21.32,20.89,N/A,N/A,N/A,N/A,21.15,20.99,21.72,21.85,21.48,20.98,20.05,N/A,N/A,N/A,N/A,21.87,21.57,22.22,22.64,21.91,21.36,21.28,N/A,N/A,N/A,N/A,21.99,21.62,22.19,22.42,21.91,21.51,21.08,N/A,N/A,N/A,N/A,239.00,256.00,278.00,342.00,255.00,306.00,278.00,N/A,N/A,N/A,N/A,775.00,748.00,730.00,806.00,838.00,823.00,741.00,N/A,N/A,N/A,N/A,422.00,408.00,396.00,435.00,420.00,418.00,425.00,N/A,N/A,N/A,N/A,0.54,0.63,0.59,0.66,0.63,0.67,0.71,N/A,N/A,N/A,N/A,0.56,0.59,0.60,0.58,0.57,0.57,0.61,N/A,N/A,N/A,N/A,0.45,0.48,0.42,0.39,0.45,0.47,0.18,N/A
2303018,Greenbrier Middle School,6-7,6-7,6-7,6-7,6-7,6-7,6-7,6-7,6-7,6-7,6-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2303019,Greenbrier Westside Elementary,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2303020,Greenbrier Junior High School,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,8-9,N/A,N/A,36.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2303021,Greenbrier Wooster Elementary,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2304021,Guy-Perkins Elementary School,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2304022,Guy-Perkins High School,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,10.00,6.00,32.00,44.00,37.00,30.00,24.00,19.00,29.00,17.00,N/A,9.00,19.00,10.00,26.00,32.00,27.00,28.00,15.00,15.00,26.00,N/A,N/A,N/A,N/A,18.42,18.00,19.52,19.54,19.20,17.80,16.92,N/A,N/A,N/A,N/A,18.38,18.34,17.81,18.18,17.80,17.20,17.27,N/A,N/A,N/A,N/A,18.92,16.84,20.56,21.14,21.27,18.13,16.92,N/A,N/A,N/A,N/A,18.35,18.97,19.33,19.04,19.13,18.40,17.31,N/A,N/A,N/A,N/A,1.00,1.00,5.00,5.00,1.00,9.00,2.00,N/A,N/A,N/A,N/A,10.00,9.00,24.00,15.00,10.00,20.00,9.00,N/A,N/A,N/A,N/A,14.00,11.00,9.00,14.00,11.00,11.00,8.00,N/A,N/A,N/A,N/A,0.33,0.31,0.43,0.44,0.53,0.33,0.45,N/A,N/A,N/A,N/A,0.47,0.66,0.62,0.47,0.35,0.65,0.57,N/A,N/A,N/A,N/A,0.73,0.66,0.70,0.75,0.73,0.73,0.36,N/A
2305025,Mayflower Elementary School,K-4,K-7,K-4,P-4,P-4,P-4,P-4,P-4,P-4,P-4,P-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2305026,Mayflower High School,9-12,9-12,9-12,9-12,9-12,9-12,9-12,9-12,9-12,9-12,9-12,90.00,82.00,100.00,103.00,94.00,106.00,107.00,84.00,89.00,82.00,N/A,48.00,72.00,69.00,76.00,96.00,82.00,79.00,98.00,61.00,69.00,N/A,N/A,N/A,N/A,18.59,18.20,18.38,17.44,17.44,17.05,17.45,N/A,N/A,N/A,N/A,18.21,16.88,17.55,16.87,17.05,16.61,16.84,N/A,N/A,N/A,N/A,18.51,19.17,19.04,17.78,17.67,17.30,17.77,N/A,N/A,N/A,N/A,19.05,17.92,18.59,17.77,17.94,17.21,17.80,N/A,N/A,N/A,N/A,5.00,3.00,3.00,14.00,6.00,10.00,18.00,N/A,N/A,N/A,N/A,57.00,49.00,37.00,34.00,20.00,42.00,60.00,N/A,N/A,N/A,N/A,36.00,46.00,44.00,26.00,18.00,18.00,41.00,N/A,N/A,N/A,N/A,0.57,0.48,0.38,0.35,0.46,0.46,0.55,N/A,N/A,N/A,N/A,0.43,0.44,0.50,0.28,0.37,0.30,0.49,N/A,N/A,N/A,N/A,0.72,0.81,0.72,0.87,0.80,0.84,0.32,N/A
2305027,Mayflower Middle School,5-8,5-8,5-8,5-8,5-8,5-8,5-8,5-8,5-8,5-8,5-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2306029,Mt. Vernon/Enola Elem. School,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,K-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2306030,Mt. Vernon/Enola High School,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,7-12,20.00,28.00,43.00,32.00,35.00,47.00,41.00,48.00,39.00,61.00,N/A,22.00,28.00,23.00,34.00,24.00,25.00,33.00,29.00,39.00,27.00,N/A,N/A,N/A,N/A,20.38,20.96,21.76,19.48,18.97,20.56,19.07,N/A,N/A,N/A,N/A,19.85,21.25,21.60,19.06,18.62,19.54,18.11,N/A,N/A,N/A,N/A,20.32,20.92,22.00,20.21,18.97,22.00,19.85,N/A,N/A,N/A,N/A,20.88,21.13,21.32,19.76,19.69,21.03,19.33,N/A,N/A,N/A,N/A,5.00,5.00,1.00,1.00,6.00,1.00,4.00,N/A,N/A,N/A,N/A,56.00,60.00,79.00,25.00,51.00,38.00,43.00,N/A,N/A,N/A,N/A,36.00,31.00,31.00,30.00,28.00,28.00,31.00,N/A,N/A,N/A,N/A,0.47,0.56,0.64,0.67,0.52,0.44,0.41,N/A,N/A,N/A,N/A,0.64,0.56,0.64,0.54,0.29,0.55,0.55,N/A,N/A,N/A,N/A,0.59,0.54,0.36,0.67,0.69,0.62,0.18,N/A
2307033,Vilonia Elementary School,K-4,K-4,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
2307034,Vilonia High School,10-12,10-12,10-12,10-12,10-12,10-12,9-12,9-12,9-12,9-12,9-12,213.00,235.00,289.00,321.00,323.00,302.00,279.00,296.00,261.00,221.00,N/A,146.00,173.00,199.00,211.00,226.00,225.00,230.00,200.00,229.00,201.00,N/A,N/A,N/A,N/A,20.73,21.02,20.00,19.93,20.50,20.36,20.06,N/A,N/A,N/A,N/A,19.46,19.88,18.69,18.86,19.05,18.79,19.00,N/A,N/A,N/A,N/A,21.66,22.04,21.05,20.96,21.14,21.31,20.45,N/A,N/A,N/A,N/A,21.05,21.15,20.04,19.55,21.03,20.80,20.60,N/A,N/A,N/A,N/A,105.00,79.00,89.00,134.00,80.00,80.00,110.00,N/A,N/A,N/A,N/A,286.00,213.00,256.00,287.00,241.00,216.00,243.00,N/A,N/A,N/A,N/A,172.00,155.00,143.00,190.00,159.00,159.00,170.00,N/A,N/A,N/A,N/A,0.58,0.51,0.58,0.55,0.55,0.60,0.55,N/A,N/A,N/A,N/A,0.57,0.58,0.55,0.54,0.47,0.48,0.50,N/A,N/A,N/A,N/A,0.58,0.55,0.64,0.62,0.67,0.59,0.26,N/A
2307035,Vilonia Primary School,K-4,K-4,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV,N/A,N/A,N/A,N/A
